temperature,city,pression,date
284.54,Paris,1030,2024-11-07 09:11
283.61,London,1031,2024-11-07 09:11
273.62,Washington,1030,2024-11-07 09:11
284.54,Paris,1030,2024-11-07 09:11 copy
283.52,London,1031,2024-11-07 09:11 copy
273.75,Washington,1030,2024-11-07 09:11 copy
284.54,Paris,1030,2024-11-07 08:11
283.47,London,1031,2024-11-07 08:11
273.7,Washington,1030,2024-11-07 08:11
284.54,Paris,1030,2024-11-07 08:11 copy
283.47,London,1031,2024-11-07 08:11 copy
273.7,Washington,1030,2024-11-07 08:11 copy
284.03,Paris,1029,2024-11-07 07:14
283.13,London,1031,2024-11-07 07:14
273.86,Washington,1029,2024-11-07 07:14
284.03,Paris,1029,2024-11-07 07:14 copy
283.13,London,1031,2024-11-07 07:14 copy
273.86,Washington,1029,2024-11-07 07:14 copy
284.03,Paris,1029,2024-11-07 07:13
283.13,London,1031,2024-11-07 07:13
273.86,Washington,1029,2024-11-07 07:13
284.03,Paris,1029,2024-11-07 07:13 copy
283.13,London,1031,2024-11-07 07:13 copy
273.86,Washington,1029,2024-11-07 07:13 copy
284.03,Paris,1029,2024-11-07 07:12
283.13,London,1031,2024-11-07 07:12
273.86,Washington,1029,2024-11-07 07:12
284.03,Paris,1029,2024-11-07 07:12 copy
283.13,London,1031,2024-11-07 07:12 copy
273.86,Washington,1029,2024-11-07 07:12 copy
284.1,Paris,1029,2024-11-07 07:11
283.23,London,1031,2024-11-07 07:11
273.8,Washington,1029,2024-11-07 07:11
284.1,Paris,1029,2024-11-07 07:11 copy
283.23,London,1031,2024-11-07 07:11 copy
273.8,Washington,1029,2024-11-07 07:11 copy
